País,Clics,Impresiones,CTR,Posición
Ecuador,587,18267,3.21%,7.33
Estados Unidos,36,3268,1.1%,7.52
España,20,586,3.41%,6.51
Suiza,4,27,14.81%,6.63
Puerto Rico,3,2587,0.12%,9.35
Reino Unido,2,180,1.11%,8.37
Canadá,2,145,1.38%,8.32
Italia,1,131,0.76%,7.23
Colombia,1,106,0.94%,10.69
Alemania,1,60,1.67%,6.73
Argentina,1,54,1.85%,12.74
Venezuela,1,26,3.85%,7.77
Bélgica,1,25,4%,7.24
Suecia,1,13,7.69%,6.54
Guam,1,2,50%,3.5
Brasil,0,150,0%,8.95
México,0,136,0%,9.68
La India,0,109,0%,10.39
Perú,0,65,0%,9.06
Chile,0,60,0%,7.63
Francia,0,58,0%,8.47
Indonesia,0,55,0%,9.82
Corea del Sur,0,55,0%,10.18
Vietnam,0,41,0%,8.66
Australia,0,32,0%,8.53
Países Bajos,0,31,0%,8.74
Turquía,0,30,0%,8.6
Malasia,0,28,0%,8.71
Filipinas,0,27,0%,12
Pakistán,0,21,0%,6.67
República Dominicana,0,20,0%,7.7
Ucrania,0,19,0%,8.53
Bangladés,0,17,0%,8.12
Rusia,0,16,0%,8.38
Polonia,0,16,0%,9.31
Singapur,0,15,0%,10.07
Panamá,0,14,0%,7.71
Emiratos Árabes Unidos,0,14,0%,9.14
Tailandia,0,14,0%,9.86
Sudáfrica,0,13,0%,8.38
Taiwán,0,11,0%,12.27
Israel,0,10,0%,6
Paraguay,0,10,0%,9.3
Honduras,0,10,0%,9.5
Noruega,0,9,0%,7.44
Marruecos,0,9,0%,7.78
Egipto,0,9,0%,7.89
Rumanía,0,9,0%,8
Chequia,0,8,0%,6.12
Arabia Saudí,0,8,0%,6.75
Costa Rica,0,8,0%,7.62
Dinamarca,0,8,0%,9
Nepal,0,8,0%,9
Nigeria,0,8,0%,14.25
Austria,0,7,0%,6.43
Portugal,0,7,0%,9.86
Grecia,0,7,0%,10.71
China,0,7,0%,12
Japón,0,6,0%,5.33
Croacia,0,6,0%,7.5
El Salvador,0,6,0%,8.5
Bulgaria,0,6,0%,9
Bielorrusia,0,6,0%,12.33
Iraq,0,5,0%,5.4
Guatemala,0,5,0%,7
Nueva Zelanda,0,5,0%,7.8
Letonia,0,5,0%,8
Uruguay,0,5,0%,8.6
Nicaragua,0,5,0%,9.4
Túnez,0,5,0%,10
Argelia,0,5,0%,10.2
Bosnia y Herzegovina,0,5,0%,10.6
Lituania,0,5,0%,11.2
Irlanda,0,5,0%,12.6
Kenia,0,5,0%,14.2
Finlandia,0,4,0%,4.75
Aruba,0,4,0%,8
Hungría,0,4,0%,8.75
Jamaica,0,4,0%,10
Ghana,0,3,0%,6
Benín,0,3,0%,7.33
Bolivia,0,3,0%,10
Kuwait,0,3,0%,10.33
Cuba,0,3,0%,11
Bahamas,0,3,0%,12.33
Senegal,0,3,0%,12.33
Siria,0,2,0%,5
Camboya,0,2,0%,6
Afganistán,0,2,0%,7
Kazajistán,0,2,0%,7
Libia,0,2,0%,7
Haití,0,2,0%,9
Somalia,0,2,0%,9
Albania,0,2,0%,9.5
Jordania,0,2,0%,10
Zambia,0,2,0%,10.5
Hong Kong,0,2,0%,11
Palestina,0,2,0%,15.5
Serbia,0,2,0%,31.5
Qatar,0,1,0%,1
Islandia,0,1,0%,4
Moldavia,0,1,0%,4
Mongolia,0,1,0%,4
Turkmenistán,0,1,0%,4
Costa de Marfil,0,1,0%,5
Malta,0,1,0%,5
Tanzania,0,1,0%,5
Luxemburgo,0,1,0%,7
Malí,0,1,0%,7
Camerún,0,1,0%,8
Laos,0,1,0%,8
Líbano,0,1,0%,8
Eslovaquia,0,1,0%,9
Ruanda,0,1,0%,10
Azerbaiyán,0,1,0%,11
Irán,0,1,0%,11
Sudán del Sur,0,1,0%,11
Armenia,0,1,0%,12
Martinica,0,1,0%,12
Uzbekistán,0,1,0%,12
Región desconocida,0,1,0%,13
Islas Salomón,0,1,0%,15
Maldivas,0,1,0%,17
Macedonia del Norte,0,1,0%,19
Montenegro,0,1,0%,20